t_ms,ax,ay,az,norm,dnorm,energy,impact
343.755,0.07983,-0.99658,-0.24243,1.02875,0.00198,0.00049,0
345.430,0.07666,-0.99756,-0.24512,1.03009,0.00134,0.00042,0
347.040,0.07715,-1.00146,-0.25146,1.03543,0.00534,0.00045,0
348.683,0.08032,-0.99341,-0.24268,1.02577,0.00966,0.00050,0
350.323,0.08130,-0.99805,-0.24292,1.03040,0.00463,0.00051,0
351.936,0.07910,-0.99512,-0.24683,1.02832,0.00208,0.00048,0
353.543,0.08008,-0.99365,-0.24121,1.02564,0.00268,0.00049,0
355.137,0.08130,-0.99634,-0.23608,1.02715,0.00151,0.00048,0
356.835,0.08667,-0.99634,-0.24390,1.02941,0.00226,0.00048,0
358.373,0.07935,-0.99902,-0.23486,1.02932,0.00009,0.00047,0
359.908,0.08105,-0.99805,-0.24292,1.03038,0.00106,0.00047,0
361.421,0.07275,-1.00366,-0.24243,1.03509,0.00471,0.00048,0
362.941,0.07227,-0.99927,-0.23511,1.02909,0.00599,0.00050,0
364.451,0.07617,-0.99927,-0.24048,1.03062,0.00152,0.00048,0
365.975,0.07300,-0.99951,-0.23657,1.02972,0.00090,0.00048,0
367.487,0.07471,-0.99292,-0.23999,1.02424,0.00548,0.00049,0
369.006,0.07617,-0.99707,-0.24316,1.02912,0.00488,0.00051,0
370.531,0.07861,-0.99268,-0.23901,1.02407,0.00505,0.00053,0
372.065,0.08179,-0.99683,-0.23804,1.02811,0.00404,0.00044,0
373.605,0.07446,-0.99243,-0.24023,1.02381,0.00431,0.00046,0
375.126,0.07715,-0.99707,-0.23999,1.02844,0.00464,0.00046,0
376.703,0.08130,-0.99536,-0.24243,1.02768,0.00076,0.00042,0
378.249,0.08105,-1.00049,-0.24023,1.03211,0.00443,0.00044,0
379.766,0.08252,-0.99731,-0.23706,1.02842,0.00370,0.00040,0
381.301,0.08350,-0.99683,-0.24048,1.02882,0.00040,0.00040,0
382.843,0.07812,-1.00146,-0.24951,1.03503,0.00622,0.00043,0
384.368,0.08325,-0.99707,-0.24365,1.02978,0.00525,0.00046,0
385.900,0.08301,-0.99731,-0.23682,1.02840,0.00138,0.00043,0
387.513,0.07861,-1.00024,-0.24512,1.03284,0.00444,0.00036,0
389.060,0.07666,-0.99658,-0.24854,1.02996,0.00287,0.00035,0
390.683,0.07617,-0.99683,-0.24780,1.02999,0.00002,0.00034,0
392.307,0.07861,-0.99927,-0.23877,1.03040,0.00042,0.00034,0
393.865,0.07861,-0.99536,-0.23975,1.02684,0.00356,0.00035,0
395.418,0.07593,-0.99487,-0.24292,1.02691,0.00007,0.00034,0
396.927,0.07544,-0.99561,-0.24438,1.02793,0.00102,0.00034,0
398.466,0.07422,-1.00586,-0.23950,1.03664,0.00871,0.00042,0
400.014,0.07690,-0.99390,-0.24658,1.02691,0.00973,0.00049,0
401.546,0.07617,-0.99683,-0.24097,1.02836,0.00145,0.00046,0
403.082,0.07617,-0.99414,-0.24390,1.02645,0.00191,0.00046,0
404.621,0.08228,-0.99707,-0.24463,1.02993,0.00348,0.00047,0
406.137,0.08276,-0.99902,-0.24609,1.03221,0.00228,0.00044,0
407.669,0.08130,-0.99829,-0.24902,1.03209,0.00012,0.00042,0
409.185,0.07666,-0.99683,-0.24438,1.02921,0.00288,0.00040,0
410.716,0.08203,-0.99658,-0.23584,1.02739,0.00182,0.00039,0
412.236,0.08325,-0.99780,-0.23926,1.02946,0.00207,0.00037,0
413.769,0.08838,-1.00317,-0.24146,1.03560,0.00614,0.00039,0
415.320,0.07959,-0.99927,-0.24414,1.03173,0.00387,0.00041,0
416.831,0.07935,-0.99683,-0.24512,1.02958,0.00215,0.00039,0
418.344,0.07788,-0.99878,-0.24316,1.03090,0.00132,0.00038,0
419.853,0.08008,-0.99683,-0.24048,1.02854,0.00235,0.00038,0
421.374,0.08008,-0.99658,-0.24023,1.02825,0.00029,0.00035,0
422.888,0.07593,-0.99487,-0.24365,1.02709,0.00117,0.00032,0
424.414,0.08032,-0.99414,-0.23682,1.02511,0.00198,0.00032,0
426.067,0.08105,-0.99243,-0.23535,1.02317,0.00194,0.00031,0
427.599,0.07422,-0.99585,-0.23975,1.02699,0.00382,0.00031,0
429.132,0.08423,-1.00122,-0.23804,1.03257,0.00558,0.00034,0
430.632,0.08667,-0.99976,-0.23999,1.03180,0.00077,0.00034,0
432.212,0.08105,-1.00049,-0.24194,1.03251,0.00071,0.00033,0
433.732,0.07959,-1.00220,-0.24243,1.03417,0.00166,0.00033,0
435.258,0.08105,-0.99902,-0.23193,1.02879,0.00538,0.00036,0
436.780,0.08838,-0.99829,-0.23291,1.02890,0.00011,0.00029,0
438.300,0.08081,-0.99609,-0.24414,1.02876,0.00015,0.00019,0
439.857,0.08447,-0.99561,-0.23779,1.02709,0.00167,0.00019,0
441.402,0.08252,-0.99512,-0.24780,1.02882,0.00173,0.00019,0
442.933,0.07935,-1.00098,-0.24316,1.03314,0.00432,0.00020,0
444.449,0.07983,-1.00220,-0.24976,1.03593,0.00279,0.00020,0
445.959,0.08374,-1.00073,-0.23584,1.03155,0.00438,0.00022,0
447.471,0.08276,-0.99683,-0.23633,1.02780,0.00376,0.00023,0
448.972,0.08301,-0.99585,-0.23706,1.02704,0.00076,0.00022,0
450.467,0.08179,-0.99219,-0.23779,1.02356,0.00348,0.00023,0
451.976,0.07812,-1.00146,-0.23999,1.03278,0.00922,0.00028,0
453.472,0.08545,-0.99829,-0.23657,1.02949,0.00329,0.00027,0
454.971,0.07812,-0.99902,-0.24634,1.03191,0.00242,0.00027,0
456.461,0.07617,-1.00195,-0.24048,1.03322,0.00131,0.00027,0
457.946,0.07764,-0.99829,-0.23364,1.02820,0.00502,0.00029,0
459.451,0.08105,-0.99438,-0.23193,1.02429,0.00392,0.00031,0
460.942,0.08252,-0.99292,-0.23120,1.02282,0.00147,0.00031,0
462.442,0.08154,-0.99609,-0.23779,1.02733,0.00451,0.00033,0
463.983,0.08081,-0.98779,-0.23706,1.01905,0.00828,0.00039,0
465.475,0.08154,-0.99390,-0.24048,1.02582,0.00677,0.00042,0
466.972,0.08374,-1.00342,-0.23828,1.03472,0.00890,0.00047,0
468.462,0.08643,-1.00073,-0.24512,1.03393,0.00078,0.00047,0
469.950,0.08496,-0.99634,-0.23999,1.02835,0.00558,0.00050,0
471.445,0.08423,-0.99902,-0.24194,1.03135,0.00300,0.00051,0
472.943,0.08301,-0.99585,-0.23755,1.02715,0.00420,0.00050,0
474.440,0.07910,-0.99341,-0.23779,1.02453,0.00262,0.00050,0
475.935,0.07251,-0.99805,-0.25171,1.03185,0.00732,0.00056,0
477.434,0.07837,-0.99512,-0.24927,1.02885,0.00300,0.00056,0
478.914,0.07959,-0.99658,-0.24097,1.02838,0.00047,0.00056,0
480.419,0.07788,-0.99878,-0.23608,1.02925,0.00087,0.00054,0
481.923,0.08154,-0.99512,-0.24683,1.02851,0.00074,0.00054,0
483.460,0.08154,-0.99390,-0.24536,1.02698,0.00153,0.00052,0
484.997,0.08228,-0.99146,-0.24463,1.02450,0.00248,0.00051,0
486.506,0.08374,-0.99365,-0.24487,1.02680,0.00230,0.00052,0
488.031,0.08203,-0.99683,-0.23975,1.02853,0.00173,0.00051,0
489.569,0.08350,-0.99731,-0.23535,1.02810,0.00042,0.00042,0
491.089,0.07739,-0.99829,-0.23828,1.02925,0.00114,0.00041,0
492.619,0.08423,-0.99512,-0.23999,1.02711,0.00214,0.00041,0
494.128,0.08228,-0.99634,-0.24121,1.02842,0.00131,0.00041,0
495.655,0.07812,-0.99756,-0.24243,1.02956,0.00115,0.00039,0
497.180,0.08130,-1.00098,-0.24658,1.03410,0.00454,0.00039,0
498.704,0.08105,-0.99585,-0.24341,1.02836,0.00574,0.00042,0
500.239,0.08252,-0.99390,-0.24243,1.02636,0.00201,0.00041,0
501.780,0.08057,-0.99585,-0.24854,1.02955,0.00319,0.00035,0
503.305,0.08203,-1.00000,-0.24536,1.03292,0.00337,0.00031,0
504.837,0.07568,-0.99487,-0.24707,1.02788,0.00504,0.00026,0
506.354,0.07666,-0.99243,-0.23999,1.02391,0.00397,0.00027,0
507.878,0.08374,-0.99976,-0.23291,1.02994,0.00603,0.00028,0
509.395,0.07715,-0.99878,-0.22925,1.02765,0.00229,0.00028,0
510.914,0.07935,-0.99561,-0.23901,1.02696,0.00069,0.00026,0
512.448,0.08008,-0.99316,-0.24487,1.02604,0.00093,0.00025,0
513.970,0.08081,-0.99561,-0.24585,1.02869,0.00265,0.00021,0
515.488,0.08179,-0.99316,-0.24902,1.02717,0.00152,0.00020,0
516.996,0.08032,-0.99731,-0.24927,1.03113,0.00396,0.00022,0
518.514,0.08203,-1.00146,-0.24146,1.03342,0.00230,0.00022,0
520.014,0.07788,-0.99390,-0.24023,1.02548,0.00794,0.00028,0
521.534,0.08252,-0.99561,-0.24512,1.02865,0.00317,0.00029,0
523.060,0.08496,-0.99927,-0.23926,1.03102,0.00237,0.00029,0
524.582,0.07812,-0.99438,-0.23462,1.02467,0.00635,0.00032,0
526.118,0.07690,-0.99536,-0.24268,1.02740,0.00273,0.00033,0
527.614,0.08032,-0.99536,-0.24390,1.02795,0.00055,0.00033,0
529.142,0.08081,-1.00244,-0.23877,1.03365,0.00570,0.00036,0
530.795,0.07959,-0.99561,-0.24414,1.02819,0.00546,0.00039,0
532.321,0.07959,-0.99292,-0.23926,1.02444,0.00375,0.00040,0
533.872,0.07935,-0.99609,-0.24072,1.02784,0.00340,0.00041,0
535.390,0.07959,-0.99756,-0.24634,1.03060,0.00277,0.00040,0
536.907,0.08032,-0.99463,-0.23828,1.02592,0.00468,0.00038,0
538.421,0.07520,-1.00024,-0.23120,1.02937,0.00344,0.00039,0
539.953,0.08643,-0.99707,-0.24121,1.02947,0.00010,0.00038,0
541.480,0.07837,-0.99658,-0.23633,1.02721,0.00225,0.00038,0
542.994,0.08203,-0.99170,-0.24292,1.02431,0.00291,0.00036,0
544.509,0.08228,-0.99634,-0.23584,1.02717,0.00286,0.00035,0
546.036,0.08203,-0.99634,-0.23755,1.02754,0.00037,0.00031,0
547.558,0.07544,-0.99609,-0.24292,1.02806,0.00051,0.00031,0
549.093,0.07910,-0.99707,-0.24121,1.02888,0.00082,0.00031,0
550.615,0.07983,-0.99951,-0.24146,1.03136,0.00248,0.00032,0
552.188,0.08691,-0.99365,-0.24805,1.02783,0.00353,0.00032,0
553.785,0.07495,-0.99536,-0.24341,1.02743,0.00040,0.00032,0
555.478,0.07959,-0.99902,-0.24902,1.03266,0.00524,0.00033,0
557.139,0.07715,-0.99512,-0.24414,1.02753,0.00514,0.00035,0
558.779,0.08057,-0.99902,-0.24487,1.03175,0.00422,0.00031,0
560.406,0.08398,-0.99731,-0.24170,1.02962,0.00213,0.00030,0
561.967,0.07422,-0.99805,-0.24316,1.02992,0.00030,0.00030,0
563.506,0.07300,-0.99878,-0.24829,1.03176,0.00184,0.00026,0
565.031,0.07690,-0.99438,-0.24365,1.02668,0.00508,0.00028,0
566.556,0.07764,-0.99414,-0.24829,1.02761,0.00093,0.00028,0
568.091,0.07617,-0.99219,-0.24805,1.02556,0.00206,0.00025,0
569.689,0.07324,-0.99316,-0.24512,1.02558,0.00003,0.00022,0
571.433,0.08398,-0.99561,-0.23926,1.02739,0.00181,0.00021,0
573.095,0.07739,-0.99658,-0.24707,1.02966,0.00228,0.00020,0
574.761,0.07788,-0.99634,-0.23730,1.02717,0.00250,0.00020,0
576.379,0.07935,-0.99268,-0.24316,1.02510,0.00207,0.00018,0
577.972,0.08301,-0.99561,-0.24683,1.02910,0.00400,0.00019,0
579.554,0.08545,-0.99487,-0.23584,1.02601,0.00309,0.00020,0
581.122,0.07568,-0.99048,-0.24268,1.02258,0.00343,0.00020,0
582.683,0.07739,-0.99170,-0.24072,1.02343,0.00085,0.00020,0
584.286,0.07617,-0.99951,-0.23779,1.03023,0.00680,0.00023,0
585.838,0.08179,-1.00342,-0.24390,1.03587,0.00564,0.00027,0
587.419,0.08081,-0.99414,-0.23828,1.02549,0.01038,0.00037,0
588.964,0.08105,-0.99536,-0.24487,1.02824,0.00275,0.00038,0
590.506,0.07568,-0.99585,-0.24561,1.02848,0.00024,0.00037,0
592.053,0.07520,-0.99707,-0.23926,1.02813,0.00035,0.00036,0
593.587,0.08179,-0.99902,-0.24316,1.03144,0.00331,0.00037,0
595.151,0.07861,-0.99438,-0.24170,1.02635,0.00509,0.00037,0
596.734,0.07837,-0.99731,-0.24292,1.02946,0.00311,0.00035,0
598.308,0.07178,-0.99609,-0.23389,1.02570,0.00376,0.00035,0
599.997,0.07642,-1.00073,-0.23682,1.03121,0.00551,0.00038,0
601.697,0.07959,-0.99561,-0.24414,1.02819,0.00302,0.00038,0
603.464,0.08008,-0.99219,-0.24268,1.02457,0.00362,0.00039,0
605.157,0.08130,-0.99634,-0.24927,1.03026,0.00569,0.00040,0
606.924,0.07788,-0.99487,-0.24316,1.02712,0.00314,0.00041,0
608.574,0.08032,-0.99561,-0.22803,1.02454,0.00258,0.00041,0
610.292,0.07690,-0.99731,-0.24121,1.02895,0.00441,0.00043,0
612.006,0.08325,-1.00000,-0.23901,1.03153,0.00258,0.00044,0
613.744,0.08423,-0.99097,-0.24780,1.02495,0.00659,0.00047,0
615.497,0.08008,-0.99658,-0.24414,1.02917,0.00422,0.00049,0
617.193,0.08057,-0.99414,-0.24756,1.02766,0.00151,0.00048,0
618.755,0.07617,-0.99756,-0.24194,1.02930,0.00164,0.00047,0
620.318,0.08008,-0.99780,-0.23389,1.02797,0.00133,0.00046,0
621.852,0.07642,-0.99854,-0.23682,1.02907,0.00110,0.00045,0
623.439,0.07593,-0.99878,-0.23462,1.02877,0.00030,0.00045,0
625.010,0.08081,-1.00195,-0.23560,1.03245,0.00367,0.00042,0
626.686,0.07495,-0.99658,-0.24902,1.02995,0.00249,0.00039,0
628.262,0.08252,-0.99927,-0.24878,1.03307,0.00312,0.00029,0
629.822,0.08447,-0.99829,-0.24902,1.03234,0.00073,0.00029,0
631.427,0.07690,-0.99536,-0.24658,1.02833,0.00401,0.00030,0
633.034,0.07520,-0.99219,-0.23853,1.02322,0.00511,0.00033,0
634.598,0.08398,-1.00122,-0.24121,1.03329,0.01006,0.00042,0
636.270,0.07959,-0.99951,-0.23486,1.02982,0.00347,0.00041,0
638.062,0.07446,-0.99658,-0.24023,1.02783,0.00199,0.00040,0
640.029,0.07837,-0.99976,-0.24194,1.03160,0.00377,0.00040,0
641.764,0.07739,-1.00024,-0.24365,1.03240,0.00080,0.00037,0
643.485,0.08325,-0.99512,-0.23657,1.02623,0.00616,0.00040,0
645.103,0.08008,-1.00098,-0.23413,1.03111,0.00487,0.00041,0
646.764,0.07910,-0.99707,-0.23389,1.02719,0.00392,0.00039,0
648.422,0.07495,-1.00195,-0.24121,1.03330,0.00612,0.00042,0
650.096,0.07983,-0.99780,-0.24341,1.03016,0.00314,0.00042,0
651.799,0.07739,-0.99854,-0.24536,1.03115,0.00099,0.00041,0
653.579,0.07178,-1.00049,-0.23486,1.03019,0.00096,0.00040,0
655.250,0.08203,-0.99658,-0.24512,1.02956,0.00063,0.00036,0
656.811,0.07788,-0.99829,-0.24341,1.03048,0.00093,0.00034,0
658.352,0.08203,-0.98975,-0.23486,1.02053,0.00995,0.00044,0
659.886,0.07837,-0.99121,-0.24048,1.02297,0.00244,0.00044,0
661.445,0.08105,-0.99976,-0.24048,1.03146,0.00849,0.00051,0
663.007,0.08081,-0.99878,-0.23999,1.03038,0.00108,0.00051,0
664.568,0.08154,-0.99707,-0.24194,1.02924,0.00114,0.00051,0
666.129,0.08423,-0.99609,-0.24219,1.02857,0.00067,0.00050,0
667.678,0.08447,-0.99707,-0.23804,1.02857,0.00000,0.00049,0
669.234,0.07739,-0.99365,-0.23413,1.02379,0.00477,0.00051,0
670.768,0.07788,-0.99438,-0.23706,1.02521,0.00142,0.00051,0
